Marca temporal,¿De qué provincia sos?,"¿De qué localidad, ciudad o barrio sos?",¿Cómo calificarías la situación general de tu distrito hoy?,Contanos brevemente la situación de tu distrito (en pocas palabras),¿Cuáles son los principales problemas de la juventud en tu lugar? (elegí hasta 3),¿Qué necesitan los y las jóvenes de tu distrito para desarrollarse? (elegí hasta 3),¿Qué tan optimista sos sobre el futuro del país?,En una frase: ¿qué país te gustaría construir?,¿Cuál es tu edad?,¿Participás en algún espacio de Jóvenes FR u otro espacio de militancia?,Nombre (opcional)
19/09/2026 16:09:00,Misiones,Posadas,Buena,Se nota más movimiento y algunas obras nuevas.,Falta de acceso a la vivienda,"Mejor transporte público, Espacios de participación política y comunitaria, Infraestructura deportiva y cultural",Pesimista,,Menos de 18,Sí,Sofía
19/09/2026 09:44:00,CABA,Balvanera,Mala,"Falta inversión en el barrio, se nota el abandono.",Falta de acceso a la vivienda,"Formación y capacitación profesional, Apoyo a la salud mental",Optimista,,25 a 30,Sí,Lucas
19/09/2026 10:43:00,Santiago del Estero,Santiago Capital,Muy buena,,"Salud mental, Falta de acceso a la vivienda, Falta de acceso a tecnología / conectividad","Infraestructura deportiva y cultural, Mejor transporte público",Ni pesimista ni optimista,,Menos de 18,Sí,Mateo
19/09/2026 12:44:00,Santa Fe,Venado Tuerto,Regular,Hay cosas buenas y otras que se estancaron.,"Salud mental, Falta de acceso a la vivienda","Programas de prevención de adicciones, Acceso a créditos o vivienda propia, Espacios de participación política y comunitaria",Ni pesimista ni optimista,,18 a 24,No,
19/09/2026 16:18:00,Chaco,Resistencia,Mala,Cuesta mucho conseguir el primer trabajo acá.,"Salud mental, Falta de empleo / trabajo precario","Becas y acceso a la educación superior, Formación y capacitación profesional, Acceso a créditos o vivienda propia",Muy pesimista,Cada vez es más difícil proyectar algo acá.,18 a 24,"Todavía no, pero me gustaría",Valentina
19/09/2026 15:34:00,San Luis,Villa Mercedes,Regular,,Inseguridad / violencia,Mejor transporte público,Muy optimista,"El país que soñamos, con futuro para los pibes.",25 a 30,Sí,
19/09/2026 09:03:00,Santa Fe,Venado Tuerto,Regular,Hay cosas buenas y otras que se estancaron.,Falta de acceso a la vivienda,Acceso a créditos o vivienda propia,Muy optimista,"Una Argentina federal, con oportunidades en cada provincia.",18 a 24,Sí,Bruno
19/09/2026 17:20:00,Formosa,Clorinda,Muy buena,"Estamos mejor que en otros lugares, hay trabajo y actividades.","Falta de acceso a tecnología / conectividad, Transporte público deficiente, Falta de oportunidades educativas","Espacios de participación política y comunitaria, Formación y capacitación profesional, Infraestructura deportiva y cultural",Optimista,,18 a 24,"Todavía no, pero me gustaría",
19/09/2026 11:49:00,Buenos Aires,Tres de Febrero,Buena,Mejoró el transporte y eso ayudó bastante.,"Falta de oportunidades educativas, Salud mental","Programas de prevención de adicciones, Más oportunidades laborales, Infraestructura deportiva y cultural",Optimista,Una Argentina con más oportunidades en el interior.,Menos de 18,"Todavía no, pero me gustaría",Tomás
19/09/2026 12:45:00,CABA,Balvanera,Regular,Va mejorando de a poco pero todavía falta mucho.,"Falta de espacios de participación y recreación, Consumo problemático de sustancias, Falta de acceso a la vivienda","Programas de prevención de adicciones, Acceso a créditos o vivienda propia",Pesimista,Un país donde no tenga que elegir entre laburar o estudiar.,18 a 24,Sí,
19/09/2026 12:14:00,Buenos Aires,Quilmes,Mala,,"Falta de empleo / trabajo precario, Salud mental","Espacios de participación política y comunitaria, Infraestructura deportiva y cultural, Becas y acceso a la educación superior",Muy optimista,,25 a 30,No,Sofía
19/09/2026 12:07:00,Buenos Aires,Vicente López,Regular,"Depende mucho del barrio, en el centro está mejor que en las afueras.","Falta de empleo / trabajo precario, Falta de acceso a la vivienda, Consumo problemático de sustancias",Apoyo a la salud mental,Ni pesimista ni optimista,Depende de lo que hagamos entre todos.,18 a 24,"Todavía no, pero me gustaría",Sofía
19/09/2026 10:00:00,Córdoba,Río Cuarto,Buena,Hay más propuestas culturales que antes.,"Falta de empleo / trabajo precario, Falta de acceso a la vivienda, Consumo problemático de sustancias",Programas de prevención de adicciones,Muy pesimista,Cada vez es más difícil proyectar algo acá.,Más de 30,"Todavía no, pero me gustaría",
19/09/2026 14:21:00,Buenos Aires,Quilmes,Muy buena,,"Falta de oportunidades educativas, Falta de acceso a la vivienda","Programas de prevención de adicciones, Infraestructura deportiva y cultural, Acceso a créditos o vivienda propia",Pesimista,,18 a 24,Sí,
19/09/2026 10:23:00,Buenos Aires,Lomas de Zamora,Regular,"Depende mucho del barrio, en el centro está mejor que en las afueras.","Falta de empleo / trabajo precario, Falta de arraigo (los jóvenes se van del distrito), Falta de oportunidades educativas",Más oportunidades laborales,Muy optimista,"El país que soñamos, con futuro para los pibes.",Menos de 18,"Todavía no, pero me gustaría",Lucas
19/09/2026 17:38:00,Santa Fe,Rafaela,Muy buena,,"Salud mental, Falta de oportunidades educativas, Falta de empleo / trabajo precario","Formación y capacitación profesional, Apoyo a la salud mental, Becas y acceso a la educación superior",Pesimista,Un país donde no tenga que elegir entre laburar o estudiar.,Menos de 18,Sí,Agustina
19/09/2026 10:46:00,CABA,Barracas,Buena,,"Falta de oportunidades educativas, Inseguridad / violencia","Mejor transporte público, Infraestructura deportiva y cultural, Programas de prevención de adicciones",Optimista,,25 a 30,Sí,Julieta
19/09/2026 13:43:00,La Rioja,La Rioja Capital,Mala,,"Consumo problemático de sustancias, Falta de oportunidades educativas, Falta de acceso a la vivienda","Apoyo a la salud mental, Mejor transporte público, Becas y acceso a la educación superior",Optimista,Uno donde estudiar no sea un privilegio.,18 a 24,Sí,
19/09/2026 11:31:00,Buenos Aires,Tres de Febrero,Buena,Hay más propuestas culturales que antes.,"Falta de oportunidades educativas, Inseguridad / violencia","Espacios de participación política y comunitaria, Más oportunidades laborales, Formación y capacitación profesional",Optimista,,25 a 30,"Todavía no, pero me gustaría",Franco
19/09/2026 13:02:00,Santa Fe,Rosario,Regular,,Falta de acceso a tecnología / conectividad,Acceso a créditos o vivienda propia,Muy optimista,"El país que soñamos, con futuro para los pibes.",25 a 30,Sí,Franco
19/09/2026 14:58:00,Chubut,Comodoro Rivadavia,Buena,Hay más propuestas culturales que antes.,"Falta de acceso a tecnología / conectividad, Falta de espacios de participación y recreación, Salud mental","Becas y acceso a la educación superior, Mejor transporte público, Formación y capacitación profesional",Muy pesimista,Cada vez es más difícil proyectar algo acá.,25 a 30,Sí,Julieta
19/09/2026 12:02:00,Córdoba,Río Cuarto,Mala,,"Salud mental, Transporte público deficiente","Apoyo a la salud mental, Infraestructura deportiva y cultural",Optimista,Uno donde estudiar no sea un privilegio.,25 a 30,"Todavía no, pero me gustaría",Camila
19/09/2026 12:21:00,Salta,Orán,Muy mala,"Está muy complicado, faltan oportunidades y la inseguridad creció mucho.","Falta de acceso a la vivienda, Falta de oportunidades educativas","Programas de prevención de adicciones, Más oportunidades laborales, Becas y acceso a la educación superior",Ni pesimista ni optimista,,18 a 24,Sí,Lucas
19/09/2026 15:28:00,Santa Fe,Rosario,Muy buena,Se ve crecimiento y oportunidades para los jóvenes.,"Salud mental, Transporte público deficiente, Falta de acceso a la vivienda","Espacios de participación política y comunitaria, Mejor transporte público",Muy optimista,,18 a 24,No,Franco
19/09/2026 11:53:00,Chaco,Resistencia,Regular,,"Transporte público deficiente, Falta de oportunidades educativas, Salud mental","Acceso a créditos o vivienda propia, Formación y capacitación profesional, Espacios de participación política y comunitaria",Pesimista,,25 a 30,Sí,Tomás
19/09/2026 10:14:00,Chaco,Sáenz Peña,Regular,Hay cosas buenas y otras que se estancaron.,"Falta de empleo / trabajo precario, Falta de arraigo (los jóvenes se van del distrito)",Acceso a créditos o vivienda propia,Optimista,,18 a 24,Sí,
19/09/2026 17:50:00,Mendoza,Godoy Cruz,Buena,Se nota más movimiento y algunas obras nuevas.,"Falta de oportunidades educativas, Falta de acceso a la vivienda",Conectividad y acceso a tecnología,Ni pesimista ni optimista,,25 a 30,"Todavía no, pero me gustaría",Tomás
19/09/2026 16:36:00,Mendoza,Godoy Cruz,Muy buena,,Falta de espacios de participación y recreación,"Infraestructura deportiva y cultural, Espacios de participación política y comunitaria, Formación y capacitación profesional",Pesimista,,25 a 30,Sí,Julieta
19/09/2026 12:56:00,San Luis,Villa Mercedes,Regular,"Depende mucho del barrio, en el centro está mejor que en las afueras.","Falta de oportunidades educativas, Falta de espacios de participación y recreación, Inseguridad / violencia",Formación y capacitación profesional,Optimista,Un país con trabajo digno para los jóvenes.,Menos de 18,Sí,Mateo
19/09/2026 17:08:00,Santa Fe,Santa Fe Capital,Buena,,"Salud mental, Inseguridad / violencia",Formación y capacitación profesional,Muy pesimista,Cada vez es más difícil proyectar algo acá.,18 a 24,"Todavía no, pero me gustaría",Agustina
